Episode,AvgProfit,WinRate,Epsilon,Fold%,Call%,Raise%
42100,153.2,62.0,0.2498,0.9,48.7,50.4
42200,14.9,61.0,0.2490,1.7,46.7,51.7
42300,59.1,60.0,0.2482,2.5,47.9,49.6
42400,107.7,54.0,0.2474,0.8,52.1,47.1
42500,74.3,63.0,0.2466,0.8,56.3,42.9
42600,174.0,62.0,0.2458,0.8,54.5,44.6
42700,123.5,67.0,0.2451,0.9,49.6,49.6
42800,128.7,60.0,0.2444,0.0,57.3,42.7
42900,97.7,67.0,0.2436,0.0,55.7,44.3
43000,160.7,54.0,0.2428,1.6,51.6,46.9
43100,151.2,61.0,0.2420,1.6,55.7,42.6
43200,74.8,60.0,0.2412,0.8,49.6,49.6
43300,55.2,59.0,0.2405,0.9,63.1,36.0
43400,137.3,64.0,0.2397,1.7,46.2,52.1
43500,152.3,58.0,0.2390,0.8,52.9,46.2
43600,-6.0,48.0,0.2383,1.7,55.1,43.2
43700,51.6,60.0,0.2375,0.9,57.8,41.4
43800,70.5,62.0,0.2368,0.0,50.0,50.0
43900,21.6,62.0,0.2361,0.9,49.6,49.6
44000,101.2,63.0,0.2354,1.8,60.9,37.3
44100,196.9,62.0,0.2346,0.8,42.9,56.3
44200,213.6,63.0,0.2339,0.9,55.2,44.0
44300,190.3,62.0,0.2332,0.0,53.6,46.4
44400,217.8,69.0,0.2324,2.5,52.5,45.0
44500,-49.4,58.0,0.2317,0.9,58.3,40.9
44600,31.1,56.0,0.2310,1.6,50.8,47.6
44700,110.0,66.0,0.2303,0.0,52.7,47.3
44800,0.6,58.0,0.2296,4.2,52.5,43.3
44900,116.8,55.0,0.2289,1.7,54.2,44.2
45000,-52.6,51.0,0.2282,2.6,58.1,39.3
45100,87.1,57.0,0.2275,0.8,50.0,49.2
45200,212.4,67.0,0.2268,0.0,55.9,44.1
45300,51.2,63.0,0.2261,1.7,45.4,52.9
45400,147.3,63.0,0.2254,0.8,55.9,43.2
45500,108.0,57.0,0.2247,0.9,56.6,42.5
45600,75.8,59.0,0.2240,0.9,46.2,53.0
45700,138.2,58.0,0.2234,2.5,42.9,54.6
45800,170.0,71.0,0.2227,1.8,61.6,36.6
45900,-25.8,59.0,0.2220,2.4,50.0,47.6
46000,87.2,60.0,0.2213,1.7,53.0,45.3
46100,365.1,63.0,0.2206,1.6,41.4,57.0
46200,89.8,58.0,0.2199,0.8,42.9,56.3
46300,28.8,60.0,0.2192,1.6,48.4,50.0
46400,113.8,56.0,0.2186,0.9,58.7,40.4
46500,196.8,64.0,0.2180,0.0,53.0,47.0
46600,78.2,61.0,0.2173,0.9,54.5,44.6
46700,85.6,55.0,0.2166,0.8,50.0,49.2
46800,116.3,59.0,0.2159,0.8,41.3,57.9
46900,-3.9,59.0,0.2153,0.0,55.5,44.5
47000,-2.5,57.0,0.2146,0.0,45.7,54.3
47100,51.9,64.0,0.2140,1.8,58.0,40.2
47200,184.2,58.0,0.2133,1.7,48.7,49.6
47300,48.2,53.0,0.2128,0.0,59.0,41.0
47400,82.0,70.0,0.2121,0.8,47.1,52.1
47500,134.4,55.0,0.2115,0.8,56.2,43.0
47600,115.2,67.0,0.2109,0.0,47.3,52.7
47700,142.7,62.0,0.2102,0.0,55.1,44.9
47800,120.8,60.0,0.2096,0.8,52.4,46.8
47900,28.6,57.0,0.2090,0.9,46.4,52.7
48000,251.4,70.0,0.2084,0.0,52.1,47.9
48100,181.7,68.0,0.2077,0.8,47.2,52.0
48200,92.0,62.0,0.2071,0.0,43.9,56.1
48300,174.9,64.0,0.2064,0.0,55.1,44.9
48400,148.2,57.0,0.2058,0.0,58.1,41.9
48500,-14.5,51.0,0.2052,3.4,55.2,41.4
48600,45.6,58.0,0.2046,2.6,50.4,47.0
48700,1.2,60.0,0.2040,0.9,55.8,43.4
48800,88.8,67.0,0.2035,1.8,57.5,40.7
48900,49.4,54.0,0.2029,0.8,56.3,42.9
